n,p25_ns,median_ns,p75_ns
16,783,987,1188
32,797,1005,1505
64,781,983,1627
128,784,993,1799
256,785,996,1893
512,723,925,2033
1024,679,849,1976
2048,677,873,2417
4096,677,851,2564
8192,734,907,3073
16384,674,859,2626
32768,543,710,2657
65536,558,736,2501
131072,560,716,3132
262144,547,697,3314
524288,574,706,3479
1048576,546,697,3571
2097152,552,697,3866
4194304,550,700,4048
8388608,545,695,4167
16777216,546,715,3806
